專利名稱,唯一識別碼
新型ＣＲＩＳＰＲ酶以及系統,21db563b-5b9f-42a6-a167-f64ba356a4f8
橙黃醯胺雙肽衍生物用於治療或預防血管新生相關疾病,43028371-051f-44e3-83d3-5292427aa9bd
細胞壞死抑制劑與相關方法,6000d7a8-432c-4119-9f51-af3f079f5e92
可增加牛樟芝子實體及提升三萜類之牛樟芝培養基,930f16bd-b942-402d-8a69-da187256f06e
抑制血管新生之化合物及其製備方法,f66c600c-0168-4d55-b9f2-d4ba7cfdfac9
解剖教學系統,f886ee45-6477-4615-abfc-56a54e3b24a2
防噴裝置,c7e503d9-3891-47a3-9efc-edf55395e5a5
環保定位監測系統,c7fd7a6f-9deb-454a-bd7c-eaba826027fd
生物醫學裝置及其製造方法、流體遞送監視器、監視在管子中流動之流體的方法、近接感測器及感測兩個物件之間的距離的方法,ca733304-1d3b-45e8-836f-a506266ee342
居家長照社區聯網求助系統,ca999371-6562-4c34-9588-8024be240d0c
具備抗菌防臭與優越音質功能的麥克風覆布製造方法,c3ab2100-6c72-4b48-8e8d-5a1e6f8475ca
７Ｔ雙埠靜態隨機存取記憶體,c358f37d-98e9-4a17-aca9-3d68bcf1c472
利用電梯通道之逃生系統,d168f033-0ba5-4f65-a3c5-03b26fc69fc0
自動循跡機器人及其控制方法,bc5e7ada-2836-4f14-9c6b-5e57c7a1c161
大樓逃生系統,bebbafb3-63f5-4b4b-a425-54e6cc983827
以流體化床結晶技術合成均質含鋁結晶物之方法,ce05f882-16f0-4b92-afc8-abeb0ea433e0
具有生體活性的立體構造物及其製造方法,c6ff916a-2ac8-424f-a9ed-26132cb3866e
腹膜透析器連接裝置及其連接方法,c8ba0685-3535-4e61-9814-41c1413aa394
手錶之時間標示機構,c8ba58af-cd12-40c4-b377-a47004ee642d
於體外檢測或／及定量Ｂ型肝炎病毒之方法及其所使用之引子、探針,c8c58883-cc7b-412d-8e20-b1f523efd37c
玩具槍之雙向噴推式氣動系統,c8e52385-6cf2-4f6d-8d0c-46318b79ea7e
聚合物、樹脂組成物、防污塗料組成物、聚合物的製造方法、於塗膜表面生成穩定化胺基甲酸酯結構的方法、於塗膜表面再生穩定化胺基甲酸酯結構的方法,d1cd71bf-bbe2-4f28-ab82-2ec6f1d967eb
具防盜鎖及GPS衛星定位協尋暨照明警示功能之自行車避震前叉,d61f92d6-1f94-4853-b24a-20af4e7b0ffb
巨環化合物及其用途,d4bfc61e-3736-4bee-8f4b-2acd99f7b51d
多層微膠囊載體及其製備方法,d5695568-ef77-4b4b-b55e-b8240e10737e
一種化合物用於製備治療視神經之醫藥組合物的用途,d7595a4a-4ab4-48ad-9491-6ee03ff842d8
射頻消融電極針具,d83b3e78-ae70-4227-8b26-1197390534f5
奈米銀珠表面電漿之太陽能電池結構,db776cfc-910b-48c5-88ad-7266bcaca04e
免疫球蛋白融合蛋白質,db5cf3a5-5b5d-4a91-88f9-ee67772b126a
奈米碳纖維的製備方法,d292fcb8-ca22-4fb3-aca0-ba5840919807
氣冷式燃料電池之雙極板結構,d94ae9f9-fbfd-4c9e-90de-5190c747cfd7
全動感小型飛機飛行模擬器,d9f5d465-2df7-4a1a-9ae5-14aee09ffdb7
評估藥物於治療粥狀動脈硬化的功效之方法,dad206d4-2daa-4ab9-a853-66084bc79e1f
車輪驅動裝置,da8fd1cc-32c6-4c18-84e8-bd131d71c616
硬化性組合物及膜,e05f6d0a-5073-4c69-9507-36cae57f874f
