uuid,inventor
21db563b-5b9f-42a6-a167-f64ba356a4f8,任恩方
21db563b-5b9f-42a6-a167-f64ba356a4f8,任史奇彼爾德
21db563b-5b9f-42a6-a167-f64ba356a4f8,古登柏強納生
21db563b-5b9f-42a6-a167-f64ba356a4f8,阿布達耶歐瑪Ｏ
21db563b-5b9f-42a6-a167-f64ba356a4f8,史拉馬可爾伊恩
43028371-051f-44e3-83d3-5292427aa9bd,葉宏一
43028371-051f-44e3-83d3-5292427aa9bd,王士維
43028371-051f-44e3-83d3-5292427aa9bd,鍾鏡湖
43028371-051f-44e3-83d3-5292427aa9bd,謝珮文
6000d7a8-432c-4119-9f51-af3f079f5e92,袁鈞瑛
6000d7a8-432c-4119-9f51-af3f079f5e92,周藝軍
6000d7a8-432c-4119-9f51-af3f079f5e92,錢珊
6000d7a8-432c-4119-9f51-af3f079f5e92,馬大爲
930f16bd-b942-402d-8a69-da187256f06e,郭鐘達
930f16bd-b942-402d-8a69-da187256f06e,張育奇
930f16bd-b942-402d-8a69-da187256f06e,李定宇
930f16bd-b942-402d-8a69-da187256f06e,孫鵬飛
930f16bd-b942-402d-8a69-da187256f06e,王貴弘
930f16bd-b942-402d-8a69-da187256f06e,陳煜沛
930f16bd-b942-402d-8a69-da187256f06e,吳黌坦
930f16bd-b942-402d-8a69-da187256f06e,林恩仕
f66c600c-0168-4d55-b9f2-d4ba7cfdfac9,湯智昕
f66c600c-0168-4d55-b9f2-d4ba7cfdfac9,李宗徽
f66c600c-0168-4d55-b9f2-d4ba7cfdfac9,王士維
f886ee45-6477-4615-abfc-56a54e3b24a2,王永銘
c7e503d9-3891-47a3-9efc-edf55395e5a5,潘美玉
c7e503d9-3891-47a3-9efc-edf55395e5a5,戴弘政
c7e503d9-3891-47a3-9efc-edf55395e5a5,辛怡潔
c7e503d9-3891-47a3-9efc-edf55395e5a5,林育宣
c7e503d9-3891-47a3-9efc-edf55395e5a5,張伶如
c7e503d9-3891-47a3-9efc-edf55395e5a5,黃貞榕
c7e503d9-3891-47a3-9efc-edf55395e5a5,黃莉娟
c7e503d9-3891-47a3-9efc-edf55395e5a5,顏娜萍
c7fd7a6f-9deb-454a-bd7c-eaba826027fd,李增奎
c7fd7a6f-9deb-454a-bd7c-eaba826027fd,陳維魁
ca733304-1d3b-45e8-836f-a506266ee342,羅傑斯約翰
ca733304-1d3b-45e8-836f-a506266ee342,金洛煥
ca733304-1d3b-45e8-836f-a506266ee342,金大亨
ca733304-1d3b-45e8-836f-a506266ee342,開普蘭大衛
ca733304-1d3b-45e8-836f-a506266ee342,歐曼尼托費倫索
ca999371-6562-4c34-9588-8024be240d0c,劉建源
c3ab2100-6c72-4b48-8e8d-5a1e6f8475ca,鄭國彬
c3ab2100-6c72-4b48-8e8d-5a1e6f8475ca,王冰凝
c358f37d-98e9-4a17-aca9-3d68bcf1c472,蕭明椿
c358f37d-98e9-4a17-aca9-3d68bcf1c472,莊承諺
c358f37d-98e9-4a17-aca9-3d68bcf1c472,林資峰
d168f033-0ba5-4f65-a3c5-03b26fc69fc0,謝宗榮
d168f033-0ba5-4f65-a3c5-03b26fc69fc0,吳旻謙
bc5e7ada-2836-4f14-9c6b-5e57c7a1c161,李春雄
bc5e7ada-2836-4f14-9c6b-5e57c7a1c161,蘇家輝
bc5e7ada-2836-4f14-9c6b-5e57c7a1c161,孫培真
bc5e7ada-2836-4f14-9c6b-5e57c7a1c161,柳家祥
bebbafb3-63f5-4b4b-a425-54e6cc983827,吳旻謙
bebbafb3-63f5-4b4b-a425-54e6cc983827,謝宗榮
ce05f882-16f0-4b92-afc8-abeb0ea433e0,盧明俊
ce05f882-16f0-4b92-afc8-abeb0ea433e0,黃耀輝
c6ff916a-2ac8-424f-a9ed-26132cb3866e,山口誠二
c6ff916a-2ac8-424f-a9ed-26132cb3866e,梶誠司
c8ba0685-3535-4e61-9814-41c1413aa394,林依恩
c8ba0685-3535-4e61-9814-41c1413aa394,楊豐榮
c8ba0685-3535-4e61-9814-41c1413aa394,李柏翰
c8ba0685-3535-4e61-9814-41c1413aa394,楊正祥
c8ba0685-3535-4e61-9814-41c1413aa394,張明三
c8ba58af-cd12-40c4-b377-a47004ee642d,許世卿
c8ba58af-cd12-40c4-b377-a47004ee642d,鄭釗仁
c8ba58af-cd12-40c4-b377-a47004ee642d,蔡國鈞
c8ba58af-cd12-40c4-b377-a47004ee642d,蔡采妮
c8c58883-cc7b-412d-8e20-b1f523efd37c,吳俊穎
c8c58883-cc7b-412d-8e20-b1f523efd37c,林肇堂
c8c58883-cc7b-412d-8e20-b1f523efd37c,賴紫綸
c8e52385-6cf2-4f6d-8d0c-46318b79ea7e,李昆益
c8e52385-6cf2-4f6d-8d0c-46318b79ea7e,王繼傑
